内容,主题概率,主题类型
酸奶 粘稠 胶水 汤圆 小桶 奶块 口感 不错,"[(0, 0.634593), (1, 0.019013999), (2, 0.1878595), (3, 0.12046629), (4, 0.01904483), (5, 0.019022334)]",0
天润 酸奶 原味 孩子 拉肚子 速度 时间 堪比 泻药,"[(0, 0.016795501), (1, 0.0168206), (2, 0.016952213), (3, 0.91580176), (4, 0.016808348), (5, 0.016821632)]",3
保质期 下单,"[(0, 0.055574197), (1, 0.055597145), (2, 0.055649586), (3, 0.056052905), (4, 0.72140104), (5, 0.05572512)]",4
袋子 封口 严密,"[(0, 0.041912787), (1, 0.04191391), (2, 0.7904139), (3, 0.041913487), (4, 0.041920863), (5, 0.04192506)]",2
酸奶 风味 酸奶 味道 酸奶,"[(0, 0.0277936), (1, 0.027788784), (2, 0.19848633), (3, 0.69034934), (4, 0.02779368), (5, 0.027788201)]",3
酸奶,"[(0, 0.08335371), (1, 0.08334777), (2, 0.083470315), (3, 0.58311814), (4, 0.08337149), (5, 0.08333861)]",3
盒子 配料表 乳酸菌,"[(0, 0.041724313), (1, 0.041756697), (2, 0.042837724), (3, 0.04268585), (4, 0.7892501), (5, 0.041745324)]",4
保质期 生产日期,"[(0, 0.055566166), (1, 0.05557579), (2, 0.05589133), (3, 0.7213039), (4, 0.056015473), (5, 0.055647373)]",3
简陋 酸奶 盒子 清理 京东 发货 泡沫 箱子 京东,"[(0, 0.016678898), (1, 0.13063747), (2, 0.016795114), (3, 0.6386888), (4, 0.18050285), (5, 0.016696876)]",3
冰袋 酸奶 块状,"[(0, 0.04169655), (1, 0.041701604), (2, 0.042146865), (3, 0.7910664), (4, 0.04169647), (5, 0.04169212)]",3
生产日期 新鲜 生产日期 保质期,"[(0, 0.033344787), (1, 0.033346653), (2, 0.41199857), (3, 0.4542637), (4, 0.033648033), (5, 0.033398308)]",3
礼拜,"[(0, 0.08338131), (1, 0.5830174), (2, 0.08338152), (3, 0.083381474), (4, 0.08338169), (5, 0.083456576)]",1
优惠券 京东 淘宝 疫情 时效 京东 多花钱 极差 京东 保质期 商家 确实 效期 高价 清货 商家 京东 时间 京东 时间 电商 新鲜 下单 正好 东西 效期 售后 正好 时间 商家 精明 感觉 商家 客服 生产日期 商家 信息 标题 详情 京东 补贴 酸奶 商家 心眼 评价 看吧,"[(2, 0.7356769), (4, 0.18941703), (5, 0.06412741)]",2
谨慎,"[(0, 0.08336453), (1, 0.08380827), (2, 0.083364666), (3, 0.08387106), (4, 0.08366022), (5, 0.58193123)]",5
产品 师傅,"[(0, 0.055657018), (1, 0.055753455), (2, 0.05621015), (3, 0.055605855), (4, 0.05589323), (5, 0.7208803)]",5
效果 很大,"[(0, 0.055619493), (1, 0.7214819), (2, 0.055864323), (3, 0.055676248), (4, 0.055573855), (5, 0.055784144)]",1
空调 收费,"[(0, 0.055614363), (1, 0.05561568), (2, 0.05559136), (3, 0.055567898), (4, 0.055689182), (5, 0.7219215)]",5
空调 收费 费用,"[(0, 0.041695528), (1, 0.041699596), (2, 0.04168444), (3, 0.04167418), (4, 0.04182272), (5, 0.79142356)]",5
态度,"[(0, 0.083347455), (1, 0.08354378), (2, 0.5803512), (3, 0.083881706), (4, 0.084537916), (5, 0.08433802)]",2
礼品 发货,"[(0, 0.056057993), (1, 0.056062922), (2, 0.056458104), (3, 0.71765786), (4, 0.05687668), (5, 0.056886397)]",3
速度,"[(0, 0.083333485), (1, 0.58100635), (2, 0.08384428), (3, 0.08455761), (4, 0.08377394), (5, 0.083484314)]",1
安装费 平台,"[(0, 0.055670355), (1, 0.055609588), (2, 0.055607546), (3, 0.055559814), (4, 0.34254062), (5, 0.43501204)]",5
上门 空调,"[(0, 0.05557284), (1, 0.055623546), (2, 0.05562213), (3, 0.055560417), (4, 0.05566113), (5, 0.72195995)]",5
空调,"[(0, 0.08336858), (1, 0.08347805), (2, 0.08334411), (3, 0.08333864), (4, 0.08334515), (5, 0.5831255)]",5
空调 效果,"[(0, 0.05570732), (1, 0.4301827), (2, 0.05556368), (3, 0.055571098), (4, 0.0555637), (5, 0.34741148)]",1
外观,"[(0, 0.5806436), (1, 0.084618434), (2, 0.08333351), (3, 0.083744645), (4, 0.08391237), (5, 0.0837474)]",0
高空,"[(0, 0.083339706), (1, 0.08335206), (2, 0.083339736), (3, 0.08334565), (4, 0.08337851), (5, 0.5832443)]",5
安装费 补贴,"[(0, 0.055585988), (1, 0.05566395), (2, 0.05556251), (3, 0.055560585), (4, 0.055784415), (5, 0.7218426)]",5
